DW_TEMPO;invoice_date;Ano;Mes;Dia;Trimestre
6e8a5556dc6c3ca15cd8ac0e0e9ed1c074261d0ffc8223c785ec30a7d54a02b3;2017-10-07 00:00:00;2017;10;7;4
d336f3bcfc8828e5c09fc330ffda73d5641a7ff4b23de07be713d3d7e1319e4f;2017-10-18 00:00:00;2017;10;18;4
a06d3f2def24c72db32d33f006d2c9c2297fd349746755f05af40e5406689d7a;2019-02-28 00:00:00;2019;2;28;1
a4153b0ab5b5587eec08d41e8c36950b6c06523c1e907513e8602bb1a4438f9d;2018-05-29 00:00:00;2018;5;29;2
0eaa347112a1faa3f7013c19c6999e40840e0b2a243ea1f30ffa391c322d0c56;2017-02-05 00:00:00;2017;2;5;1
f2e99dbd76289dbedf91421c8a147342fb5e8f8ed828dd8154dea2a798c9c006;2017-12-06 00:00:00;2017;12;6;4
ac7c5c572e9c4ae7c103c3afbfedd1105d5c933261d9f3cdac0e4ef75095a119;2018-02-15 00:00:00;2018;2;15;1
6b6caec76189aae703016bbe1544d572d0a64c31e91b80e449c16535b5f95ee0;2017-08-11 00:00:00;2017;8;11;3
0953bb33e93bc91f2642a461b88d06f6aa6848c2a60d4d704523566e26e996ff;2018-09-22 00:00:00;2018;9;22;3
96a44172bb1a61d2993ee2d2eed22468de7b55beabbee3a7bfb30348860aa02b;2018-06-06 00:00:00;2018;6;6;2
ebe48b9b153dd43be1aa9726f502bd8183a223e46fe1f4edb9b4772945434a77;2017-01-19 00:00:00;2017;1;19;1
b027da6695d55953b21cd6b008c6db8ad331744a957896be7ddad46b805e2306;2018-01-23 00:00:00;2018;1;23;1
96f4cc11d1ab21b124a6fafda0d439fa18ccff341c38bd187ce750b2d82c5ca6;2017-06-29 00:00:00;2017;6;29;2
b6831f12e30138375a814b65932fe025e0eebacfedce2e461682db83c7396254;2018-09-23 00:00:00;2018;9;23;3
74e00088ca7821ecf9cadf2d3a8aada0e2031a8369355d57a431936ac2b23dd6;2018-10-20 00:00:00;2018;10;20;4
208c79b87315c85a1699a0a7af23e1617223898f839120686b18fc88f780d0c1;2018-11-18 00:00:00;2018;11;18;4
b6fa4d9fa18de6c14575a108b170dc701eefec041507f742322bffdcb64ba0d6;2017-07-29 00:00:00;2017;7;29;3
98461c5ca22172aecfa4c197a5559fd678321a069906cd3f6454fc979d363a6e;2017-07-01 00:00:00;2017;7;1;3
51ab4ddbb8cbc00149e099bd6fa96f5aac92a11247e070e687681a91467d7a4a;2018-07-24 00:00:00;2018;7;24;3
12789b9bada4e5afeeb93764438ecd40134490850928d4cb5b8087a27befadd4;2018-06-13 00:00:00;2018;6;13;2
a7155e3ba39989a3a7538c3623aa9c2b292641c4e2e68b5a09b15f005f0c02b4;2018-08-05 00:00:00;2018;8;5;3
c9fa855bce76b9f909c4d1d2543b89531535928523ca3b305333b16a6973e561;2018-12-11 00:00:00;2018;12;11;4
71edff84f232e3bc39215d20420c1edd9f45c76725a8b8be33e70fa5923ef17f;2017-10-29 00:00:00;2017;10;29;4
9df7db90cb33cc6a43c445c7df16e853bf31fcd44832fd32550e20cbe6411133;2018-12-29 00:00:00;2018;12;29;4
72cfb88b09bd707985cb50c17de94e5bd3f42d0bc2a84b248c897b895621ff94;2018-02-08 00:00:00;2018;2;8;1
8d223b31d7f91a4a14d34030193483f101713d6ee73e823812bef62f15b41a40;2018-09-16 00:00:00;2018;9;16;3
f1e507695899bdfe3325b447825930a18c6eb17a0ffe7c14226dd61145022d02;2017-05-03 00:00:00;2017;5;3;2
22ad43358893cabfd6ab243722ae23aa6329cecf90549efc7aa3647726a33eae;2017-05-06 00:00:00;2017;5;6;2
f2c23237a9a8429aaa96d6a614eec42ae0729897ec98d992b356137fa09bbecb;2018-04-28 00:00:00;2018;4;28;2
b2a7749302fa88f790d446f229916a7ca9c81869f1026e6626f1a8c80578b600;2018-06-05 00:00:00;2018;6;5;2
f3b7f49dcc0db59e16cc9e8ab20ed974335aff175065a8bb071f4b905d7b22f8;2017-01-12 00:00:00;2017;1;12;1
6a6ffe1c2c927aee327fd1f172c866e2bb83badf92bdb3c03c23ef505289aa79;2017-01-29 00:00:00;2017;1;29;1
7d3c061b547b1204e556573217fbc5db43c977e92da58652f792cb7ab94035f9;2019-03-03 00:00:00;2019;3;3;1
b822270a1269c00b1c9ef9c2c6b8f0a788a9ce89b64be4922267f8d68486d965;2018-06-02 00:00:00;2018;6;2;2
c2fe98e899f0ec09139b2121eddd795864b58b6a305698542f696942e4a5c9e6;2017-10-21 00:00:00;2017;10;21;4
434ca76d7cea6b9e24bb004fb27c9f5af8266f7de6933c680f777f12202b9c4d;2017-05-31 00:00:00;2017;5;31;2
b600ba81e7d28c9267c837ca6d10c9a7f9bd9ffa409e6a36302fdabf15902d43;2017-08-23 00:00:00;2017;8;23;3
5ff74acfcad703128f979eafdf25e23a4b50a7fb34b689dfab77bca33cd7abc7;2017-09-23 00:00:00;2017;9;23;3
39212e4c0de1646ca3d1aa5702f16c25f0318397f663230b802d3b43e1418cca;2017-11-05 00:00:00;2017;11;5;4
1ca36e46365883d6845f1bba7322430eccc162884d02481183ebd3ec4c8e1605;2018-09-05 00:00:00;2018;9;5;3
683a6a08fdf7ec4df1671314c5367cf60139987033c7b60e502a3574a4d2e8c8;2017-06-23 00:00:00;2017;6;23;2
dde425d2eac32d4f2ff3fc97b96649a748fc677e32e7f3abeab4fb7d90d2cc9c;2018-09-17 00:00:00;2018;9;17;3
b626c19905d645e6a0ce18b63a1f992262639673080a09d1e9f04327f40fe952;2018-02-06 00:00:00;2018;2;6;1
837172d4c7e07d6a1778afec81fbae5dabc0fdb92c2a4251f0ed61281bbbfb50;2018-09-04 00:00:00;2018;9;4;3
25a6fd1c0fab201a9640602866eac50eb930702540a6289f422d5e84139553c1;2018-10-29 00:00:00;2018;10;29;4
0e872dff9c71734e46a5d3c6523e2f8cc5b024a8096ae29a70465ddcbeeb7529;2017-02-04 00:00:00;2017;2;4;1
14246f1e21785bd519dfa02239397fc5e4e100365a85ba40802c4a3184e6db65;2017-05-04 00:00:00;2017;5;4;2
0bd58b913b49dda6b908052c49d34170ee1d7f63af6b0623965cc9a6cc32c2ca;2018-01-30 00:00:00;2018;1;30;1
e6713e0718a91011e14f42e16c8d56b32b4acb050bd75ea3956c5661a3648a25;2017-07-03 00:00:00;2017;7;3;3
6ca2fb15521bc5157e0510e4c9a1e6869b2c40d2aa21455e9ece78a671ad2550;2018-11-28 00:00:00;2018;11;28;4
10268404a7f8ecda3491d51734660c517c1c67d597d5b96b6e6599b98ee075cc;2018-10-28 00:00:00;2018;10;28;4
e73357fea28afcd835515ed77f8124b5cb0e4e3dd2025e22732b6b731194b67c;2018-06-24 00:00:00;2018;6;24;2
bde9f7889c44d7aa19c84f8e0287c59222b529b9f927d2c36b49286106ee7aef;2018-10-13 00:00:00;2018;10;13;4
c7c058d3de6a0f7acc1bf0afab58954d8d3253f3deb8eb918ed15368254a407a;2017-02-16 00:00:00;2017;2;16;1
bbae115070f51de62af43707cdc06f58492ceabbf3388f158c2390a74630dd06;2018-05-06 00:00:00;2018;5;6;2
445ec33e39d31f02f8682677383320119f3cc3ca8cec707694148f602d15d7e1;2018-01-16 00:00:00;2018;1;16;1
1293595053e9709a789de97d6ff54a970b8751c000e572166c04c43759190abf;2018-02-18 00:00:00;2018;2;18;1
93d89e0ad35a4d5f2ab0764346a73878422ef7f826976359b0fe010d61edb07d;2018-09-09 00:00:00;2018;9;9;3
42d7fb9ea776f15f3c7e96b4b38321346c815d767b86d9e5d3c1dc06b62aa502;2018-06-10 00:00:00;2018;6;10;2
8c0f49d6bcf8eb03194a0f6ec0a512e44590020bde6f30eaccf18b4333d48503;2017-07-26 00:00:00;2017;7;26;3
3a2925b29685a53c4eb98e98d52109f22f3ccc67aab09b2369c639620eeb285e;2017-10-20 00:00:00;2017;10;20;4
b200b241147bcb54da6557e68df829eda0a026be30ed28ac7e5700c6ae05ffa8;2018-08-13 00:00:00;2018;8;13;3
9cb800a3ccb58aab3cb1c155193df2444b0992a23d7e949eed3e01ba3d49c3dd;2019-01-29 00:00:00;2019;1;29;1
7d3f0fb7d11289e0bc5423610270955f6923c63c0025d17d8ade0049ce1cadc7;2017-03-01 00:00:00;2017;3;1;1
b08fc09e1a91282f55b03e92ad19cc9ddd14af6911e12af673c177f2ff7e77af;2017-07-12 00:00:00;2017;7;12;3
202911caae614d0411151bb408492d9e7d3f9cc14aef966c39e5b10f22124112;2018-10-07 00:00:00;2018;10;7;4
0af37bcd3f36b797c45d582e7f2946b07b7252addebab7b9253083850e4d314d;2019-01-07 00:00:00;2019;1;7;1
bd1def00a14ce2c89b2df5b6fb9ac58ed46293e30510e38edc163473ad8d53f0;2017-06-25 00:00:00;2017;6;25;2
b6f405a35a911a7175e6403fd724e9e4ffc5c2548da5304742d3520693803ed7;2017-10-14 00:00:00;2017;10;14;4
6f7aa887661537ab79cef84def3b80b1a31a5f9bc75f7f80254d93ed48b7d7f3;2018-06-03 00:00:00;2018;6;3;2
b3f5fd8e978397bf44f1e145526665729b8401c9b4fc6af24b9c6fd9b5aedb1f;2017-08-16 00:00:00;2017;8;16;3
2604815bb56d390725c21c93ed523f212b64cc27eac99502156479ac7442069e;2018-01-24 00:00:00;2018;1;24;1
c7546d158009c64e55395ae1fa3f8c208ab3dd429125ec3c45a98c07fc11419e;2017-03-08 00:00:00;2017;3;8;1
103772d28caace8709691294423270af2f4f98e4a3d2c42ba4c82886935c7f1a;2019-02-25 00:00:00;2019;2;25;1
5831bddb9613f8c17f26b21442139a109b9b16ffddc9e85015ebfd25c764448b;2018-01-17 00:00:00;2018;1;17;1
b3b58da3d637a3e2450d12ec226a7a3d61a57dbae0e589ab8cd1b615f315fdac;2018-06-27 00:00:00;2018;6;27;2
883d625552a5f0e7a46cffa2ff62f954882ee9a8253449cd5ea7f373b98b71e1;2018-01-01 00:00:00;2018;1;1;1
73211300a15c6cebe011d83d9f4f65b0777307caf53a6fa5c433360c564b2722;2019-03-11 00:00:00;2019;3;11;1
648b87a9996bdc7c2c36c52ae946f609fb8b8a6cc3fc15983d28c4f0fcbf3231;2017-08-12 00:00:00;2017;8;12;3
aa9e31c07060eb85bacd7fa95129bb4cb49950d164fb6785390f6522e4893e0d;2017-08-20 00:00:00;2017;8;20;3
f4f8740c78602214d7b4566980230073a54c6fbc5c1c608f6dc30033a3b3b50a;2018-01-28 00:00:00;2018;1;28;1
2fab28d61f1d62c02b4d98b1d887229b2ab3ef31b1a932a6697bd9b6261357d6;2017-01-22 00:00:00;2017;1;22;1
46711ecc55238f33550de0be1caa776f3c216af58a259ad66e6cc936d7330fc5;2019-01-31 00:00:00;2019;1;31;1
804560181c3b4a9edea1b41510d31733daa28784a04e62567c770212c9b19673;2018-03-05 00:00:00;2018;3;5;1
cf4cb29719aa3f3ae33d922d26a0974a1545b5c7470e512c3b588a439877d04a;2017-02-24 00:00:00;2017;2;24;1
2b684640f0c30e4849b7f163a076aeaea75c689b9834a3546e6d20df09f4bdb2;2017-07-13 00:00:00;2017;7;13;3
0a5f830832ea06b523b28952d9623846a91bbc34f563269dfc849cf4e5c6aa72;2018-10-06 00:00:00;2018;10;6;4
0e1855cc3a3e24e30e230e682f76147dc8b2f17ec499f526a27eefa4bd74a672;2017-11-09 00:00:00;2017;11;9;4
26197b237ab16a5a51cdc5bf31c701f9f960202f4cc22a6e4337f2150a03a07e;2017-11-11 00:00:00;2017;11;11;4
4705d7cc212488095b5a9b83bcabc48e485b5745610071d6832da9571560e8c2;2018-06-18 00:00:00;2018;6;18;2
